UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
10001  2407.839775 ns
00001  2408.022992 ns
00011  2408.479008 ns
00001  2503.66643 ns
00000  2504.166188 ns
00100  2504.256028 ns
00101  2504.657248 ns
10101  2504.840465 ns
10001  2505.759945 ns
10101  2506.141594 ns
11101  2506.262838 ns
11111  2507.18116 ns
11110  2507.680918 ns
11100  2603.214236 ns
11101  2603.713994 ns
11001  2604.117998 ns
11011  2605.272775 ns
11111  2605.538238 ns
11101  2605.611022 ns
11100  2606.263593 ns
01100  2606.44681 ns
01000  2606.514784 ns
01100  2606.845245 ns
00100  2606.966489 ns
00110  2608.967409 ns
00100  2703.66643 ns
00101  2704.166188 ns
00100  2704.657248 ns
10100  2704.840465 ns
10000  2706.708421 ns
11000  2706.829665 ns
01000  2707.697612 ns
00000  2708.109022 ns
00010  2803.214236 ns
00000  2803.996927 ns
00010  2805.122621 ns
10010  2805.527937 ns
10011  2805.622379 ns
11011  2805.939347 ns
11111  2806.026383 ns
01111  2807.697612 ns
00111  2808.109022 ns
00101  2808.479008 ns
00001  2904.256028 ns
10001  2905.527937 ns
10101  2905.563035 ns
11101  2905.684279 ns
10101  2905.939347 ns
10100  2906.605162 ns
10110  2906.708653 ns
00110  2906.788379 ns
00100  3005.611022 ns
00101  3006.11078 ns
00001  3006.514784 ns
00101  3006.708421 ns
01101  3006.829665 ns
11101  3007.697612 ns
10101  3008.109022 ns
10111  3008.967409 ns
10101  3103.214236 ns
10100  3103.713994 ns
10000  3105.563035 ns
11000  3105.684279 ns
#3
11010  2.125175 ns
11110  3.46251 ns
10110  4.585993 ns
10010  5.73036 ns
10000  6.406054 ns
10001  6.727103 ns
10011  7.136818 ns
11011  7.234891 ns
11001  7.517848 ns
01001  7.676151 ns
01011  102.125175 ns
01111  103.46251 ns
00111  104.516043 ns
10111  104.957303 ns
00111  105.26185 ns
00110  105.780317 ns
00100  106.406054 ns
00000  107.743389 ns
10000  107.751699 ns
11000  107.911722 ns
