UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
011  803.720335 ns
001  901.49043 ns
000  901.717932 ns
001  902.193412 ns
011  902.814685 ns
001  903.017353 ns
000  903.720335 ns
010  1001.443934 ns
110  1001.765114 ns
100  1003.017353 ns
101  1003.720335 ns
111  1101.443934 ns
101  1101.49043 ns
001  1101.765114 ns
000  1101.882646 ns
001  1102.193412 ns
011  1102.814685 ns
111  1103.135865 ns
011  1103.300579 ns
001  1301.443934 ns
011  1301.49043 ns
111  1301.765114 ns
110  1301.882646 ns
111  1302.193412 ns
101  1302.814685 ns
001  1303.135865 ns
101  1303.300579 ns
111  1401.49043 ns
110  1401.717932 ns
111  1402.193412 ns
101  1402.814685 ns
111  1403.017353 ns
110  1403.720335 ns
100  1501.443934 ns
000  1501.765114 ns
001  1501.882646 ns
101  1503.300579 ns
#14
001  201.446176 ns
000  201.515624 ns
010  203.497181 ns
000  203.518607 ns
100  301.886482 ns
101  302.044435 ns
001  302.890532 ns
011  304.962963 ns
111  401.446176 ns
011  402.890532 ns
010  501.958121 ns
110  502.890532 ns
100  503.939678 ns
110  504.962963 ns
010  601.446176 ns
011  601.515624 ns
111  601.886482 ns
110  602.044435 ns
010  602.890532 ns
000  603.497181 ns
100  701.886482 ns
101  702.044435 ns
001  702.890532 ns
011  704.962963 ns
111  801.446176 ns
011  802.890532 ns
010  901.604129 ns
000  903.518607 ns
001  1001.958121 ns
101  1002.890532 ns
111  1003.939678 ns
101  1004.962963 ns
001  1101.446176 ns
000  1101.515624 ns
100  1101.886482 ns
101  1102.044435 ns
001  1102.890532 ns
011  1103.497181 ns
111  1301.446176 ns
110  1301.515624 ns
010  1301.886482 ns
011  1302.044435 ns
111  1302.890532 ns
101  1303.497181 ns
100  1401.604129 ns
110  1403.518607 ns
010  1501.886482 ns
011  1502.044435 ns
111  1502.890532 ns
101  1504.962963 ns
#15
001  201.738772 ns
000  202.738188 ns
010  202.965351 ns
000  204.255272 ns
100  302.547035 ns
000  302.796929 ns
001  304.701722 ns
011  305.063535 ns
111  402.547035 ns
011  402.796929 ns
111  501.738772 ns
110  502.262735 ns
100  502.489898 ns
000  502.547035 ns
100  502.796929 ns
110  505.063535 ns
010  601.738772 ns
110  602.547035 ns
111  602.738188 ns
011  602.796929 ns
001  602.965351 ns
000  604.701722 ns
100  702.547035 ns
000  702.796929 ns
001  704.701722 ns
011  705.063535 ns
111  802.547035 ns
011  802.796929 ns
010  903.643565 ns
000  904.255272 ns
100  1001.738772 ns
101  1002.262735 ns
111  1002.489898 ns
011  1002.547035 ns
111  1002.796929 ns
101  1005.063535 ns
001  1101.738772 ns
101  1102.547035 ns
100  1102.738188 ns
000  1102.796929 ns
010  1102.965351 ns
011  1104.701722 ns
111  1301.738772 ns
011  1302.547035 ns
010  1302.738188 ns
110  1302.796929 ns
100  1302.965351 ns
101  1304.701722 ns
100  1403.643565 ns
110  1404.255272 ns
010  1502.547035 ns
110  1502.796929 ns
111  1504.701722 ns
101  1505.063535 ns
#16
111  202.895352 ns
011  203.24844 ns
010  205.994096 ns
000  206.540648 ns
001  303.011708 ns
011  303.508267 ns
111  303.861355 ns
011  304.122288 ns
001  503.508267 ns
101  503.861355 ns
100  504.302173 ns
110  504.848725 ns
111  603.011708 ns
011  604.122288 ns
010  605.994096 ns
000  606.540648 ns
001  703.011708 ns
011  703.508267 ns
111  703.861355 ns
011  704.122288 ns
010  902.13786 ns
000  902.895352 ns
010  1003.508267 ns
110  1003.861355 ns
111  1004.302173 ns
101  1004.848725 ns
100  1103.011708 ns
000  1104.122288 ns
001  1105.994096 ns
011  1106.540648 ns
010  1303.011708 ns
110  1304.122288 ns
111  1305.994096 ns
101  1306.540648 ns
100  1402.13786 ns
110  1402.895352 ns
111  1503.011708 ns
101  1503.508267 ns
001  1503.861355 ns
101  1504.122288 ns
#17
001  201.371144 ns
011  201.665917 ns
001  203.092997 ns
000  203.733759 ns
100  301.341999 ns
000  301.935919 ns
001  302.740988 ns
011  303.657772 ns
001  401.665917 ns
011  404.205307 ns
111  501.935919 ns
101  503.657772 ns
111  504.205307 ns
110  506.273149 ns
010  601.341999 ns
000  601.665917 ns
001  602.740988 ns
000  603.733759 ns
100  701.341999 ns
000  701.935919 ns
001  702.740988 ns
